1476846082.765000, /muse/elements/raw_fft3, 2.481414, 11.960228, 9.472225, 11.603989, 9.665459, 7.859114, 5.0188446, 5.337928, 4.9756055, 4.053632, 1.3342195, -0.114630006, 1.4545339, 2.7779582, -2.2716844, -0.6067252, -4.7091274, -3.516667, -2.6429298, -1.8608444, -1.8176928, -6.663238, -7.384748, -7.817265, -3.607554, -6.7981095, -6.0617814, -5.4778113, -3.8676465, -6.067886, -10.460174, -17.455126, -9.693225, -6.5068936, -4.337558, -3.2104611, -9.175322, -6.666555, -12.170014, -10.632198, -4.346775, -5.23578, -10.812881, -6.2564535, -6.103459, -7.283639, -3.5002997, -5.7513084, -6.145785, -8.866428, -11.214635, -10.706735, -6.895289, -6.5426617, -7.2226353, -8.26162, -5.7362823, -4.6334815, -13.538957, -13.00286, -17.830803, -11.738445, -13.076396, -11.13403, -16.641212, -15.735163, -14.924616, -16.162733, -18.023577, -18.703207, -19.720448, -22.501537, -19.814661, -25.084478, -18.086866, -14.262448, -15.137718, -13.137554, -15.517716, -14.590205, -13.124006, -9.515968, -10.384679, -10.348571, -14.548218, -9.206524, -6.8537273, -13.818307, -14.593862, -15.425582, -10.055352, -9.817149, -12.5986395, -11.024635, -11.276147, -9.904027, -8.633232, -14.061237, -13.034161, -17.898298, -11.7776375, -7.5962114, -10.149844, -20.603209, -18.985826, -12.851556, -12.703168, -14.376407, -11.6875, -11.440291, -11.5706215, -11.537322, -16.74381, -15.210062, -13.9042425, -14.029183, -17.299633, -17.86534, -20.457441, -19.835146, -20.024134, -19.525204, -20.407799, -18.979769, -23.048538, -21.752558, -20.208559, -24.18496, -20.593033
1476846082.765000, /muse/elements/low_freqs_absolute, 1.3985724, 1.4725282, 1.44277, 1.0548594
1476846082.765000, /muse/elements/alpha_absolute, 0.25715402, 0.45735672, 0.3591989, 0.7649073
1476846082.765000, /muse/elements/beta_absolute, 0.79132533, 0.18891722, 0.11041493, 0.7206493
1476846082.765000, /muse/elements/delta_absolute, 1.2814267, 1.3150486, 1.3244356, 0.9736264
1476846082.765000, /muse/elements/gamma_absolute, 0.3514287, 0.020170243, 0.16901344, 0.61028284
1476846082.765000, /muse/elements/theta_absolute, 0.7722578, 0.95560503, 0.82027185, 0.28682426
1476846082.765000, /muse/elements/alpha_session_score, 0.0, 0.739726, 0.77272725, 0.53333336
1476846082.765000, /muse/elements/beta_session_score, 0.5121951, 0.0, 0.22727273, 0.5555556
1476846082.765000, /muse/elements/delta_session_score, 0.84615386, 0.7870968, 0.74404764, 0.61290324
